id,title,location,experience,skills,company,salary,description,posted_date,type,url
070818900675,Manager/senior Manager - Analytics/python - Cpg/ecommerce/retail Domai,Bengaluru,5-7 yrs,"marketing, sales, segmentation, senior management, use cases...",Client of Hexaconcepts,  Not disclosed ,"- Develop comprehensive models/codes for specific use cases (like segmentation, forecasting, key driver ...",52 days ago,premium,https://www.naukri.com/job-listings-Manager-senior-Manager-Analytics-python-Cpg-ecommerce-retail-Domai-Client-of-Hexaconcepts-Bengaluru-5-to-7-years-070818900675?src=jobsearchDesk&sid=15382133024127&xp=31&px=42
060818000570,A Global IT Company is Looking to Employ Big Data Engineer,Chennai,3-8 yrs,"hadoop, big data analytics, hive, mapreduce, kafka, spark, flume, MongoDB...",Geakminds Technologies Private Limited,  Not disclosed ,Looking for Big Data Engineer with 3+ years of experience;Hands-on experience with MapReduce-based ...,52 days ago,premium,https://www.naukri.com/job-listings-A-Global-IT-Company-is-Looking-to-Employ-Big-Data-Engineer-Geakminds-Technologies-Private-Limited-Chennai-3-to-8-years-060818000570?src=jobsearchDesk&sid=15382133024127&xp=32&px=42
040818001245,"Manager, Data Strategy & Analytics",Hyderabad,5-8 yrs,"marketing, business development, growth strategy, strategic planning...",United States Pharmacopeia-India (P) Limited,  Not disclosed ,5 or more years of experience in applying analytics to solve broad strategic business problems;Advanced ...,54 days ago,premium,https://www.naukri.com/job-listings-Manager-Data-Strategy-Analytics-United-States-Pharmacopeia-India-P-Limited-Hyderabad-5-to-8-years-040818001245?src=jobsearchDesk&sid=15382133024127&xp=33&px=42
030818900452,Principal Architect - Information Architecture,Dubai/ UAE,12-15 yrs,"Information Architecture, Application Programming, Maintenance...",Black Olive Recruitment & Staffing Company,  Not disclosed ,- Define and manage the enterprise data structures required to support the enterprise through the ...,57 days ago,hotjob,https://www.naukri.com/job-listings-Principal-Architect-Information-Architecture-Black-Olive-Recruitment-Staffing-Company-Dubai-UAE-12-to-15-years-030818900452?src=jobsearchDesk&sid=15382133024127&xp=34&px=42
020818006596,Full Stack Engineer - Python,Bengaluru,5-10 yrs,"Javascript, Bootstrap, CSS, MySQL, SVG, Html5, MongoDB, Nginx, Github, GIT",Squareroot Consulting,  Not disclosed ,"- Experience in developing mobile apps either on iOS or Android;- Experience in data science, cloud, web ...",58 days ago,premium,https://www.naukri.com/job-listings-Full-Stack-Engineer-Python-Squareroot-Consulting-Bengaluru-5-to-10-years-020818006596?src=jobsearchDesk&sid=15382133024127&xp=35&px=42
020818006345,Senior Android Developer - Java / Sqlite,Delhi,3-6 yrs,"Android Developer, Java, SQLite, Android, RESTful, JSON, SOAP, XML...",IDC technologies,  Not disclosed ,- Good understanding and knowledge on developing scalable and secure android systems is a must;- 3 ...,54 days ago,premium,https://www.naukri.com/job-listings-Senior-Android-Developer-Java-Sqlite-IDC-technologies-Delhi-3-to-6-years-020818006345?src=jobsearchDesk&sid=15382133024127&xp=36&px=42
020818006090,Backend Developer - Python / Django,Delhi,3-8 yrs,"Backend Developer, Python, RESTful APIs, Django, backend development, MVC...",IDC technologies,  Not disclosed ,"- Experience in building highly scalable, robust, and fault tolerant services;- Contributions to open ...",57 days ago,premium,https://www.naukri.com/job-listings-Backend-Developer-Python-Django-IDC-technologies-Delhi-3-to-8-years-020818006090?src=jobsearchDesk&sid=15382133024127&xp=37&px=42
020818001961,Process Head - Media Operations,Pune,8-10 yrs,"sales, consumer marketing, client management, digital media...",Atidiv ( Loft Quality Process and Delivery Center India Pvt. Ltd),"    15,00,000 - 20,00,000 P.A. Relocation bonus, Variable pay  ","Remuneration: Dependent on skill set, experience;Agency/ Marketing Consulting experience preferred ...",58 days ago,hotjob,https://www.naukri.com/job-listings-Process-Head-Media-Operations-Atidiv-Loft-Quality-Process-and-Delivery-Center-India-Pvt-Ltd-Pune-8-to-10-years-020818001961?src=jobsearchDesk&sid=15382133024127&xp=38&px=42
011217901357,Systems Analyst,Bengaluru,7-10 yrs,"Business intelligence, Data analysis, MS Access, MS Office, Data management...",US Technology International Pvt Ltd,  Not disclosed ,"Roles and Responsibilities 7 years of industry experience in the business data analysis,  involved in ...",54 days ago,hotjob,https://www.naukri.com/job-listings-Systems-Analyst-US-Technology-International-Pvt-Ltd-Bengaluru-7-to-10-years-011217901357?src=jobsearchDesk&sid=15382133024127&xp=39&px=42
011217901356,Systems Analyst,Bengaluru,7-10 yrs,"SQL, SAP, ERP, Data analysis, MS Access, MS Office, VISIO...",US Technology International Pvt Ltd,  Not disclosed ,"Roles and Responsibilities 7 years of industry experience in the business data analysis,  involved in ...",54 days ago,hotjob,https://www.naukri.com/job-listings-Systems-Analyst-US-Technology-International-Pvt-Ltd-Bengaluru-7-to-10-years-011217901356?src=jobsearchDesk&sid=15382133024127&xp=40&px=42
